timestamp,src,dst,proto,pkt_len,dataset,prediction
2025-12-06 00:28:26,54.84.119.159,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:26,172.26.57.105,54.84.119.159,6,54,NSL-KDD,normal
2025-12-06 00:28:27,54.205.216.197,172.26.57.105,6,85,NSL-KDD,normal
2025-12-06 00:28:27,54.205.216.197,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:27,172.26.57.105,54.205.216.197,6,54,NSL-KDD,normal
2025-12-06 00:28:29,3.33.221.48,172.26.57.105,6,252,NSL-KDD,normal
2025-12-06 00:28:29,172.26.57.105,3.33.221.48,6,101,NSL-KDD,normal
2025-12-06 00:28:29,3.33.221.48,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:29,172.26.57.105,20.189.173.4,6,55,NSL-KDD,normal
2025-12-06 00:28:29,20.189.173.4,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.105,172.26.57.223,17,70,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.105,172.26.57.223,17,70,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.105,13.204.106.34,6,55,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.105,172.26.57.223,6,55,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.223,172.26.57.105,17,121,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.223,172.26.57.105,17,133,NSL-KDD,normal
2025-12-06 00:28:30,13.204.106.34,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:30,172.26.57.105,172.26.57.223,17,74,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.105,172.26.57.223,17,74,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.223,172.26.57.105,17,179,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.128,224.0.0.251,17,103,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.105,172.26.57.223,6,55,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.105,172.26.57.223,17,77,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.223,172.26.57.105,17,196,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.105,23.38.59.250,6,66,NSL-KDD,normal
2025-12-06 00:28:31,23.38.59.250,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:31,172.26.57.105,23.38.59.250,6,54,NSL-KDD,normal
2025-12-06 00:28:32,172.26.57.105,23.38.59.250,6,328,NSL-KDD,normal
2025-12-06 00:28:32,23.38.59.250,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:32,23.38.59.250,172.26.57.105,6,371,NSL-KDD,normal
2025-12-06 00:28:32,172.26.57.105,23.38.59.250,6,54,NSL-KDD,normal
2025-12-06 00:28:32,172.26.57.105,172.26.57.223,6,55,NSL-KDD,normal
2025-12-06 00:28:32,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:34,104.18.39.21,172.26.57.105,6,78,NSL-KDD,normal
2025-12-06 00:28:35,172.26.57.105,104.18.39.21,6,82,NSL-KDD,normal
2025-12-06 00:28:35,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:38,172.26.57.105,54.192.142.70,6,55,NSL-KDD,normal
2025-12-06 00:28:38,54.192.142.70,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:41,3.33.221.48,172.26.57.105,6,160,NSL-KDD,normal
2025-12-06 00:28:41,172.26.57.105,3.33.221.48,6,176,NSL-KDD,normal
2025-12-06 00:28:41,172.26.57.105,3.33.221.48,6,101,NSL-KDD,normal
2025-12-06 00:28:41,3.33.221.48,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:41,3.33.221.48,172.26.57.105,6,54,NSL-KDD,normal
